protein_id	gene_symbol	mol_weight_kd	mol_weight
CR974586.3	CR974586.3	33.21369280000003	33213.69280000003	normal
AC125178.1	AC125178.1	55.12375990000006	55123.75990000006	normal
VMN1R186	Vmn1r186	34.087051300000056	34087.05130000006	normal
SPRY3	Spry3	31.362631700000048	31362.63170000005	normal
CCL19	Ccl19	11.910773499999985	11910.773499999985	normal
AC165294.3	AC165294.3	55.109733300000066	55109.733300000065	normal
AC125149.5	AC125149.5	13.925334199999982	13925.334199999983	normal
CSPRS	Csprs	32.59472550000002	32594.725500000015	normal
CCL21A	Ccl21a	14.557820799999979	14557.82079999998	normal
AC168977.1	AC168977.1	50.025879100000054	50025.87910000006	normal
AC164084.3	AC164084.3	56.096005000000126	56096.00500000013	normal
GM10931	Gm10931	20.793524700000013	20793.524700000013	normal
4933409K07RIK	4933409K07Rik	63.32995180000016	63329.95180000016	normal
FAM205A2	Fam205a2	146.1542827000003	146154.2827000003	normal
AC140325.3	AC140325.3	56.127037200000125	56127.03720000012	normal
AC125149.4	AC125149.4	13.855284099999983	13855.284099999983	normal
AC102264.1	AC102264.1	34.03495850000004	34034.95850000004	normal
AC140325.4	AC140325.4	55.515573400000086	55515.57340000009	normal
TMLHE	Tmlhe	49.60900069999997	49609.00069999997	normal
AC133103.5	AC133103.5	13.895308199999983	13895.308199999983	normal
AC133103.1	AC133103.1	30.347799400000024	30347.799400000025	normal
AC123873.2	AC123873.2	55.12375990000006	55123.75990000006	normal
AC087559.2	AC087559.2	10.069608799999985	10069.608799999985	normal
AC164084.1	AC164084.1	31.912055800000033	31912.055800000035	normal
CCL21B	Ccl21b	14.583901099999977	14583.901099999977	normal
AC126035.1	AC126035.1	31.80714880000003	31807.148800000028	normal
GM16367	Gm16367	55.13675860000006	55136.75860000006	normal
AC163611.1	AC163611.1	56.021971200000124	56021.971200000124	normal
AC163611.2	AC163611.2	41.768696300000066	41768.69630000007	normal
ZFY1	Zfy1	88.22926070000042	88229.26070000042	normal
ZFY1	Zfy1	88.22926070000042	88229.26070000042	normal
AC124606.2	AC124606.2	55.14774160000007	55147.74160000007	normal
UBA1Y	Uba1y	118.03627670000068	118036.27670000069	normal
UBA1Y	Uba1y	118.03627670000068	118036.27670000069	normal
AC124606.1	AC124606.1	55.12375990000006	55123.75990000006	normal
KDM5D	Kdm5d	54.57876530000008	54578.76530000008	normal
KDM5D	Kdm5d	177.0157459000006	177015.74590000062	normal
AC133095.2	AC133095.2	55.24423290000008	55244.232900000075	normal
AC133095.1	AC133095.1	56.07501400000012	56075.01400000012	normal
EIF2S3Y	Eif2s3y	51.12996249999998	51129.96249999999	normal
UTY	Uty	125.31959290000071	125319.59290000072	normal
UTY	Uty	136.7364088000007	136736.4088000007	normal
UTY	Uty	136.6493315000007	136649.3315000007	normal
UTY	Uty	130.02885410000079	130028.85410000078	normal
DDX3Y	Ddx3y	73.42699800000038	73426.99800000039	normal
USP9Y	Usp9y	292.2640600000007	292264.0600000007	normal
ZFY2	Zfy2	88.12612630000044	88126.12630000044	normal
ZFY2	Zfy2	88.12612630000044	88126.12630000044	normal
H2AL2C	H2al2c	12.67135939999999	12671.35939999999	normal
SRY	Sry	49.49360540000022	49493.60540000022	normal
H2AL2B	H2al2b	12.67135939999999	12671.35939999999	normal
GM4064	Gm4064	43.16703220000004	43167.03220000004	normal
RBMY	Rbmy	43.21511800000003	43215.11800000003	normal
RBMY	Rbmy	43.21511800000003	43215.11800000003	normal
GM10256	Gm10256	43.21610280000003	43216.10280000003	normal
GM10256	Gm10256	43.21610280000003	43216.10280000003	normal
GM10256	Gm10256	43.21610280000003	43216.10280000003	normal
GM10352	Gm10352	43.21610280000003	43216.10280000003	normal
GM10352	Gm10352	43.21610280000003	43216.10280000003	normal
GM2888	Gm2888	31.327785500000054	31327.785500000053	normal
GM2888	Gm2888	24.20135730000003	24201.35730000003	normal
GM2897	Gm2897	20.3780862	20378.086199999998	normal
BTBD35F23	Btbd35f23	57.86884720000006	57868.84720000006	normal
FAM171A1	Fam171a1	84.7932367000005	84793.2367000005	normal
SCAF8	Scaf8	139.57026309999998	139570.26309999998	normal
FAM171A1	Fam171a1	97.96142150000053	97961.42150000052	normal
FAM171A1	Fam171a1	31.474654800000007	31474.654800000008	normal
FAM171A1	Fam171a1	97.23723160000053	97237.23160000052	normal
VMN1R238	Vmn1r238	35.03008010000005	35030.08010000005	normal
SFI1	Sfi1	142.72626010000042	142726.26010000042	normal
SFI1	Sfi1	144.0316083000004	144031.6083000004	normal
SFI1	Sfi1	140.27204670000043	140272.04670000044	normal
SFI1	Sfi1	139.0280829000005	139028.0829000005	normal
SFI1	Sfi1	133.17021610000063	133170.21610000063	normal
GM10340	Gm10340	24.477815700000033	24477.815700000032	normal
INSR	Insr	155.60841970000013	155608.41970000011	normal
AU018091	AU018091	74.04096060000028	74040.96060000028	normal
VMN1R2	Vmn1r2	34.93291370000004	34932.91370000004	normal
VMN1R2	Vmn1r2	34.93291370000004	34932.91370000004	normal
VMN1R3	Vmn1r3	34.78384000000005	34783.84000000005	normal
SFI1	Sfi1	10.69039569999999	10690.39569999999	normal
GM5795	Gm5795	24.222524300000035	24222.524300000034	normal
GM5795	Gm5795	30.92337250000005	30923.37250000005	normal
BTBD35F24	Btbd35f24	57.93080410000005	57930.80410000005	normal
EIF4ENIF1	Eif4enif1	105.39134340000052	105391.34340000052	normal
EIF4ENIF1	Eif4enif1	107.98428960000052	107984.28960000053	normal
EIF4ENIF1	Eif4enif1	107.98428960000052	107984.28960000053	normal
EIF4ENIF1	Eif4enif1	105.39134340000052	105391.34340000052	normal
EIF4ENIF1	Eif4enif1	87.88135330000037	87881.35330000037	normal
D830030K20RIK	D830030K20Rik	17.114229399999996	17114.229399999997	normal
D830030K20RIK	D830030K20Rik	25.741854100000033	25741.854100000033	normal
XKR4	Xkr4	71.50202250000032	71502.02250000033	normal
NLRP12	Nlrp12	119.31761250000098	119317.61250000098	normal
D830030K20RIK	D830030K20Rik	17.114229399999996	17114.229399999997	normal
RAB10	Rab10	22.540673400000006	22540.673400000007	normal
DRG1	Drg1	40.511611100000025	40511.611100000024	normal
H60C	H60c	22.340215900000018	22340.215900000017	normal
H60C	H60c	25.281629900000027	25281.629900000025	normal
IGHMBP2	Ighmbp2	109.34174590000066	109341.74590000066	normal
IGHMBP2	Ighmbp2	97.49637280000046	97496.37280000046	normal
CREM	Crem	32.316194099999954	32316.194099999957	normal
CREM	Crem	38.51601969999998	38516.01969999998	normal
CREM	Crem	32.53730219999995	32537.302199999947	normal
CREM	Crem	27.472793700000025	27472.793700000024	normal
CREM	Crem	37.30275319999997	37302.75319999997	normal
CREM	Crem	32.37527139999999	32375.271399999987	normal
CREM	Crem	33.69762339999994	33697.62339999994	normal
CREM	Crem	12.055795399999989	12055.795399999988	normal
CREM	Crem	31.1089343	31108.9343	normal
CREM	Crem	26.33747660000001	26337.47660000001	normal
CREM	Crem	12.738592099999988	12738.592099999987	normal
CREM	Crem	11.53728529999999	11537.28529999999	normal
CREM	Crem	13.540456699999984	13540.456699999984	normal
CREM	Crem	13.353143299999985	13353.143299999985	normal
CREM	Crem	24.524358500000023	24524.358500000024	normal
CREM	Crem	29.451840299999994	29451.840299999993	normal
CREM	Crem	30.749188199999974	30749.188199999975	normal
CREM	Crem	10.919612999999988	10919.612999999988	normal
CREM	Crem	14.035939999999984	14035.939999999984	normal
CREM	Crem	32.62138359999994	32621.383599999936	normal
CREM	Crem	35.735747299999936	35735.74729999994	normal
SELENOP	Selenop	41.20481660000008	41204.81660000008	normal
SELENOP	Selenop	41.20481660000008	41204.81660000008	normal
CCDC152	Ccdc152	30.42491150000006	30424.91150000006	normal
CCDC152	Ccdc152	30.42491150000006	30424.91150000006	normal
MRPL21	Mrpl21	24.030434500000034	24030.434500000032	normal
MRPL21	Mrpl21	23.36594260000004	23365.94260000004	normal
NMT2	Nmt2	60.48356070000012	60483.56070000012	normal
NMT2	Nmt2	56.98365090000002	56983.65090000002	normal
NMT2	Nmt2	56.53683250000003	56536.83250000003	normal
MYADM	Myadm	35.28418590000003	35284.18590000003	normal
PATZ1	Patz1	11.392866199999993	11392.866199999993	normal
PATZ1	Patz1	57.59285410000006	57592.85410000006	normal
PATZ1	Patz1	74.11827180000027	74118.27180000028	normal
PATZ1	Patz1	69.1376874000002	69137.6874000002	normal
PATZ1	Patz1	58.099506000000034	58099.50600000003	normal
MYADM	Myadm	35.28418590000003	35284.18590000003	normal
MYADM	Myadm	35.28418590000003	35284.18590000003	normal
MYADM	Myadm	35.28418590000003	35284.18590000003	normal
CREM	Crem	13.685050299999986	13685.050299999986	normal
CREM	Crem	18.58752799999999	18587.527999999988	normal
GM21677	Gm21677	43.21511800000003	43215.11800000003	normal
GM21677	Gm21677	43.21511800000003	43215.11800000003	normal
PRKCG	Prkcg	78.35678520000039	78356.78520000039	normal
PRKCG	Prkcg	72.96261120000027	72962.61120000026	normal
GHR	Ghr	72.62229150000032	72622.29150000031	normal
GHR	Ghr	72.62229150000032	72622.29150000031	normal
CPT1A	Cpt1a	88.25047100000059	88250.47100000059	normal
TIAM2	Tiam2	192.56437500000044	192564.37500000044	normal
GM21693	Gm21693	43.24119830000002	43241.198300000025	normal
GM21693	Gm21693	43.24119830000002	43241.198300000025	normal
GHR	Ghr	34.104194900000046	34104.194900000046	normal
GHR	Ghr	34.104194900000046	34104.194900000046	normal
RPP38	Rpp38	31.189113699999993	31189.113699999994	normal
PIK3IP1	Pik3ip1	28.566970500000018	28566.970500000018	normal
PIK3IP1	Pik3ip1	23.011006199999997	23011.006199999996	normal
GM2956	Gm2956	25.54807860000003	25548.07860000003	normal
CACNG7	Cacng7	31.002248799999997	31002.248799999998	normal
ALKBH8	Alkbh8	70.80617210000021	70806.17210000021	normal
ALKBH8	Alkbh8	74.7666834000003	74766.6834000003	normal
ALKBH8	Alkbh8	74.7666834000003	74766.6834000003	normal
ACBD7	Acbd7	10.010438899999995	10010.438899999996	normal
ACBD7	Acbd7	10.067490199999996	10067.490199999997	normal
ALKBH8	Alkbh8	74.7666834000003	74766.6834000003	normal
OLAH	Olah	30.249616400000008	30249.616400000006	normal
OLAH	Olah	30.249616400000008	30249.616400000006	normal
OLAH	Olah	30.249616400000008	30249.616400000006	normal
CDK6	Cdk6	37.02791140000003	37027.911400000026	normal
LIMK2	Limk2	51.172590300000046	51172.59030000005	normal
LIMK2	Limk2	70.5353532000003	70535.3532000003	normal
LIMK2	Limk2	69.8907202000003	69890.7202000003	normal
LIMK2	Limk2	72.20132110000034	72201.32110000034	normal
CDK6	Cdk6	37.02791140000003	37027.911400000026	normal
ARHGEF18	Arhgef18	53.00958830000009	53009.58830000009	normal
ARHGEF18	Arhgef18	155.92171050000056	155921.71050000057	normal
ARHGEF18	Arhgef18	55.90195160000011	55901.95160000011	normal
KIF3C	Kif3c	89.97187080000032	89971.87080000032	normal
KIF3C	Kif3c	89.97187080000032	89971.87080000032	normal
PPP1R14C	Ppp1r14c	17.753553400000012	17753.55340000001	normal
PPP1R14C	Ppp1r14c	13.288798599999998	13288.798599999998	normal
GM21704	Gm21704	43.21511800000003	43215.11800000003	normal
GM21704	Gm21704	43.21511800000003	43215.11800000003	normal
SAMD9L	Samd9l	182.2522970000005	182252.29700000052	normal
CUL2	Cul2	82.26963910000039	82269.6391000004	normal
CUL2	Cul2	86.87597690000042	86875.97690000043	normal
KIF3C	Kif3c	32.87634920000006	32876.349200000055	normal
TESMIN	Tesmin	50.615533099999986	50615.533099999986	normal
TESMIN	Tesmin	28.26290449999998	28262.90449999998	normal
TESMIN	Tesmin	32.48740480000002	32487.40480000002	normal
TESMIN	Tesmin	32.48740480000002	32487.40480000002	normal
CACNG8	Cacng8	43.41843720000013	43418.437200000124	normal
ARHGEF18	Arhgef18	114.33463890000068	114334.63890000069	normal
CACNG8	Cacng8	43.41843720000013	43418.437200000124	normal
TIAM2	Tiam2	192.56437500000044	192564.37500000044	normal
GM21708	Gm21708	43.21511800000003	43215.11800000003	normal
GM21708	Gm21708	43.21511800000003	43215.11800000003	normal
GM21708	Gm21708	43.21511800000003	43215.11800000003	normal
CWF19L2	Cwf19l2	103.17166060000078	103171.66060000077	normal
MEIG1	Meig1	10.823147099999996	10823.147099999996	normal
MEIG1	Meig1	10.823147099999996	10823.147099999996	normal
MEIG1	Meig1	10.823147099999996	10823.147099999996	normal
MEIG1	Meig1	10.823147099999996	10823.147099999996	normal
MEIG1	Meig1	10.823147099999996	10823.147099999996	normal
GAL	Gal	13.470390999999987	13470.390999999987	normal
GAL	Gal	15.7514126	15751.4126	normal
GM10409	Gm10409	17.796458799999996	17796.458799999997	normal
RNF185	Rnf185	20.519909299999977	20519.909299999978	normal
RNF185	Rnf185	24.85006639999996	24850.06639999996	normal
DCLRE1C	Dclre1c	68.79516450000025	68795.16450000026	normal
DCLRE1C	Dclre1c	55.73491710000006	55734.917100000064	normal
DCLRE1C	Dclre1c	78.83325920000054	78833.25920000054	normal
DCLRE1C	Dclre1c	54.28064750000012	54280.64750000012	normal
CACNG6	Cacng6	28.144768600000013	28144.768600000014	normal
CACNG6	Cacng6	23.600192800000002	23600.1928	normal
ARHGEF18	Arhgef18	125.74537950000045	125745.37950000045	normal
ASXL2	Asxl2	66.23837570000016	66238.37570000016	normal
ASXL2	Asxl2	147.0792427000005	147079.2427000005	normal
ASXL2	Asxl2	147.0631771000005	147063.1771000005	normal
BTBD35F11	Btbd35f11	57.79875090000006	57798.75090000006	normal
GM10408	Gm10408	25.72381570000003	25723.815700000032	normal
PPP6R3	Ppp6r3	94.65178130000051	94651.78130000051	normal
PPP6R3	Ppp6r3	92.61558030000052	92615.58030000051	normal
PPP6R3	Ppp6r3	97.86209190000055	97862.09190000055	normal
SUV39H2	Suv39h2	54.09512620000006	54095.12620000006	normal
HEPACAM2	Hepacam2	51.42011860000009	51420.11860000009	normal
PEX11G	Pex11g	27.151441200000026	27151.441200000027	normal
PEX11G	Pex11g	20.38175480000001	20381.75480000001	normal
SUV39H2	Suv39h2	28.745137200000006	28745.137200000005	normal
TEX45	Tex45	56.423475100000054	56423.475100000054	normal
TEX45	Tex45	56.423475100000054	56423.475100000054	normal
TARM1	Tarm1	31.790860100000003	31790.8601	normal
PLA2G3	Pla2g3	56.68667530000014	56686.67530000014	normal
TARM1	Tarm1	31.391396400000005	31391.396400000005	normal
HSPA14	Hspa14	54.64962180000009	54649.62180000009	normal
TARM1	Tarm1	30.164052400000003	30164.052400000004	normal
ZFP358	Zfp358	59.78592770000026	59785.927700000255	normal
INPP5J	Inpp5j	107.5429810000008	107542.9810000008	normal
ZFP358	Zfp358	59.78592770000026	59785.927700000255	normal
VPS50	Vps50	111.17278050000075	111172.78050000075	normal
VPS50	Vps50	108.07630410000068	108076.30410000068	normal
VPS50	Vps50	107.17219180000068	107172.19180000067	normal
MCOLN1	Mcoln1	65.50511970000028	65505.11970000027	normal
GM45902	Gm45902	40.281565500000056	40281.565500000055	normal
GM45902	Gm45902	40.281565500000056	40281.565500000055	normal
BAMBI	Bambi	29.197488700000026	29197.488700000027	normal
HNF4G	Hnf4g	46.90327020000008	46903.27020000008	normal
CDNF	Cdnf	21.031310500000004	21031.310500000003	normal
SELENOM	Selenom	16.22743389999999	16227.433899999989	normal
PNPLA6	Pnpla6	146.56132080000003	146561.32080000004	normal
PNPLA6	Pnpla6	146.56132080000003	146561.32080000004	normal
PNPLA6	Pnpla6	148.65873609999997	148658.73609999998	normal
PNPLA6	Pnpla6	145.2317131000001	145231.71310000008	normal
SMTN	Smtn	47.572624000000076	47572.624000000076	normal
SMTN	Smtn	103.03877470000064	103038.77470000065	normal
SMTN	Smtn	100.28771620000063	100287.71620000064	normal
SMTN	Smtn	100.13431460000068	100134.31460000068	normal
SMTN	Smtn	100.13431460000068	100134.31460000068	normal
TFB1M	Tfb1m	38.96113570000004	38961.13570000004	normal
CLDN20	Cldn20	23.753620500000014	23753.620500000015	normal
GUCY1A2	Gucy1a2	81.82988260000042	81829.88260000042	normal
GDI2	Gdi2	50.53654640000002	50536.54640000002	normal
GDI2	Gdi2	46.65719580000004	46657.19580000004	normal
IYD	Iyd	32.813620100000044	32813.620100000044	normal
FAM133B	Fam133b	25.978831000000028	25978.831000000027	normal
FAM133B	Fam133b	27.952066400000035	27952.066400000036	normal
TMEM68	Tmem68	37.809708100000016	37809.70810000002	normal
TASOR2	Tasor2	264.2754108000006	264275.4108000006	normal
RPS23RG1	Rps23rg1	15.589777399999985	15589.777399999984	normal
FAM107B	Fam107b	35.175173900000026	35175.17390000002	normal
1700109H08RIK	1700109H08Rik	24.24673490000001	24246.73490000001	normal
GM3005	Gm3005	25.54807860000003	25548.07860000003	normal
DTNB	Dtnb	69.02350250000022	69023.50250000022	normal
DTNB	Dtnb	74.39846160000033	74398.46160000033	normal
DTNB	Dtnb	30.372221300000003	30372.221300000005	normal
DTNB	Dtnb	64.25299900000019	64252.99900000019	normal
DTNB	Dtnb	71.05668050000025	71056.68050000025	normal
DTNB	Dtnb	63.41014840000018	63410.14840000018	normal
DTNB	Dtnb	68.18065190000023	68180.65190000023	normal
TGS1	Tgs1	96.78917560000072	96789.17560000072	normal
RPS23RG1	Rps23rg1	12.735657599999984	12735.657599999984	normal
RPS23RG1	Rps23rg1	15.589777399999985	15589.777399999984	normal
RBM48	Rbm48	45.79153630000009	45791.53630000009	normal
LRP5	Lrp5	178.88314629999988	178883.14629999988	normal
CAMSAP3	Camsap3	135.17352850000088	135173.5285000009	normal
CAMSAP3	Camsap3	135.27265950000088	135272.65950000088	normal
CAMSAP3	Camsap3	91.56000990000072	91560.00990000072	normal
CAMSAP3	Camsap3	136.60424530000088	136604.24530000088	normal
CAMSAP3	Camsap3	93.18592210000068	93185.92210000068	normal
CAMSAP3	Camsap3	92.99072670000069	92990.7267000007	normal
CAMSAP3	Camsap3	138.32928850000087	138329.28850000087	normal
CAMSAP3	Camsap3	136.89857170000084	136898.57170000084	normal
DTNB	Dtnb	67.7619836000002	67761.98360000021	normal
OLFR161	Olfr161	34.914350600000084	34914.350600000085	normal
RBM48	Rbm48	15.544609999999995	15544.609999999995	normal
OLFR161	Olfr161	34.914350600000084	34914.350600000085	normal
PEX1	Pex1	136.7414750000007	136741.4750000007	normal
PEX1	Pex1	141.42598780000063	141425.9878000006	normal
PEX1	Pex1	15.442231499999986	15442.231499999985	normal
OSCAR	Oscar	29.368664600000017	29368.66460000002	normal
OSCAR	Oscar	28.725900000000003	28725.9	normal
OSCAR	Oscar	27.49550570000001	27495.50570000001	normal
XAB2	Xab2	99.98637310000069	99986.3731000007	normal
FAM107B	Fam107b	17.99428819999999	17994.288199999988	normal
NDUFA3	Ndufa3	9.330805599999998	9330.805599999998	normal
NDUFA3	Ndufa3	10.94065359999999	10940.65359999999	normal
TFPT	Tfpt	28.01263779999998	28012.63779999998	normal
TFPT	Tfpt	28.95363599999998	28953.63599999998	normal
PET100	Pet100	9.409745399999993	9409.745399999993	normal
PET100	Pet100	8.349432699999996	8349.432699999996	normal
LRP5	Lrp5	69.48982720000026	69489.82720000026	normal
PCP2	Pcp2	14.78418169999998	14784.18169999998	normal
PCP2	Pcp2	10.751950499999989	10751.950499999988	normal
PCP2	Pcp2	13.053443299999982	13053.443299999983	normal
PCP2	Pcp2	10.751950499999989	10751.950499999988	normal
PCP2	Pcp2	12.382499799999993	12382.499799999992	normal
PCP2	Pcp2	11.377439199999994	11377.439199999993	normal
PRPF31	Prpf31	55.429282100000115	55429.28210000011	normal
PRPF31	Prpf31	54.739482700000124	54739.482700000124	normal
PRPF31	Prpf31	54.739482700000124	54739.482700000124	normal
STXBP2	Stxbp2	66.35664940000017	66356.64940000017	normal
ASB13	Asb13	29.895869500000018	29895.86950000002	normal
HNF4G	Hnf4g	51.964963700000084	51964.96370000008	normal
NOX3	Nox3	64.49471560000025	64494.71560000025	normal
GATAD1	Gatad1	28.5350527	28535.0527	normal
GATAD1	Gatad1	6.161971200000002	6161.971200000002	normal
GATAD1	Gatad1	23.061854499999985	23061.854499999983	normal
CNOT3	Cnot3	81.94477740000055	81944.77740000054	normal
TUG1	Tug1	15.160602999999995	15160.602999999996	normal
MORC2A	Morc2a	117.32829650000058	117328.29650000058	normal
MORC2A	Morc2a	117.32829650000058	117328.29650000058	normal
GM3020	Gm3020	17.796458799999996	17796.458799999997	normal
RETN	Retn	12.49156619999999	12491.56619999999	normal
RETN	Retn	12.49156619999999	12491.56619999999	normal
LENG1	Leng1	30.46881540000001	30468.81540000001	normal
MCEMP1	Mcemp1	20.648492300000008	20648.49230000001	normal
TMC4	Tmc4	77.37982800000037	77379.82800000037	normal
TMC4	Tmc4	70.34720290000023	70347.20290000022	normal
FCOR	Fcor	11.232567999999992	11232.567999999992	normal
TRAPPC5	Trappc5	20.794834799999997	20794.834799999997	normal
TRAPPC5	Trappc5	20.794834799999997	20794.834799999997	normal
MBOAT7	Mboat7	53.43507910000006	53435.07910000006	normal
LYN	Lyn	58.811595100000034	58811.595100000035	normal
LYN	Lyn	56.28482940000006	56284.82940000006	normal
FCER2A	Fcer2a	37.64721220000006	37647.21220000006	normal
FCER2A	Fcer2a	37.48709090000006	37487.09090000006	normal
FCER2A	Fcer2a	37.46705800000006	37467.058000000055	normal
FCER2A	Fcer2a	35.025276100000035	35025.27610000003	normal
FCER2A	Fcer2a	35.07040110000005	35070.40110000005	normal
CALCR	Calcr	58.12517480000007	58125.174800000066	normal
CALCR	Calcr	58.12517480000007	58125.174800000066	normal
CALCR	Calcr	62.46809070000011	62468.09070000011	normal
CALCR	Calcr	58.12517480000007	58125.174800000066	normal
CALCR	Calcr	62.46809070000011	62468.09070000011	normal
GM3043	Gm3043	25.72381570000003	25723.815700000032	normal
ANKIB1	Ankib1	121.87428400000083	121874.28400000083	normal
TSEN34	Tsen34	34.19604789999998	34196.04789999998	normal
TSEN34	Tsen34	31.93953589999996	31939.53589999996	normal
TSEN34	Tsen34	33.82761989999998	33827.61989999998	normal
TSEN34	Tsen34	30.963467099999967	30963.467099999965	normal
TSEN34	Tsen34	34.19604789999998	34196.04789999998	normal
BTBD35F18	Btbd35f18	57.77069440000005	57770.69440000005	normal
OSBP2	Osbp2	52.17966240000008	52179.66240000008	normal
OSBP2	Osbp2	101.35231560000068	101352.31560000069	normal
OSBP2	Osbp2	57.07585770000009	57075.857700000095	normal
RPS9	Rps9	22.591141599999997	22591.141599999995	normal
FAM107B	Fam107b	15.571512799999988	15571.512799999988	normal
RPS9	Rps9	16.6045049	16604.5049	normal
RPS9	Rps9	22.591141599999997	22591.141599999995	normal
RPS9	Rps9	9.534053799999993	9534.053799999994	normal
RPS9	Rps9	16.287168499999996	16287.168499999996	normal
FAM107B	Fam107b	15.571512799999988	15571.512799999988	normal
CLEC4G	Clec4g	14.389196499999981	14389.196499999982	normal
MEFV	Mefv	86.40765010000042	86407.65010000042	normal
MEFV	Mefv	83.18200880000038	83182.00880000037	normal
MEFV	Mefv	90.45314170000049	90453.14170000049	normal
1810055G02RIK	1810055G02Rik	41.09470200000002	41094.70200000002	normal
1810055G02RIK	1810055G02Rik	41.09470200000002	41094.70200000002	normal
1810055G02RIK	1810055G02Rik	41.09470200000002	41094.70200000002	normal
1810055G02RIK	1810055G02Rik	41.09470200000002	41094.70200000002	normal
PIRB	Pirb	93.05260610000053	93052.60610000053	normal
FAM107B	Fam107b	15.571512799999988	15571.512799999988	normal
FAM107B	Fam107b	15.571512799999988	15571.512799999988	normal
CLEC4G	Clec4g	33.3263863	33326.386300000006	normal
PLEKHG1	Plekhg1	155.87452820000053	155874.52820000052	normal
CD209A	Cd209a	27.148570800000023	27148.570800000023	normal
CD209A	Cd209a	20.791212800000014	20791.212800000016	normal
CD209A	Cd209a	24.05514850000002	24055.148500000018	normal
ZFP263	Zfp263	77.52608180000028	77526.08180000029	normal
ZFP263	Zfp263	44.889863700000106	44889.8637000001	normal
BTBD35F10	Btbd35f10	57.77970450000005	57779.70450000005	normal
KMT5B	Kmt5b	96.06852850000072	96068.52850000073	normal
KMT5B	Kmt5b	98.57920690000073	98579.20690000073	normal
KMT5B	Kmt5b	98.57920690000073	98579.20690000073	normal
KMT5B	Kmt5b	44.72270030000007	44722.70030000007	normal
KMT5B	Kmt5b	96.06852850000072	96068.52850000073	normal
KMT5B	Kmt5b	37.54589990000004	37545.89990000004	normal
KMT5B	Kmt5b	44.72270030000007	44722.70030000007	normal
KMT5B	Kmt5b	37.54589990000004	37545.89990000004	normal
KMT5B	Kmt5b	37.54589990000004	37545.89990000004	normal
KMT5B	Kmt5b	96.06852850000072	96068.52850000073	normal
KMT5B	Kmt5b	47.99243050000005	47992.430500000046	normal
GM3376	Gm3376	43.14202430000003	43142.024300000034	normal
FAM107B	Fam107b	9.003095199999995	9003.095199999996	normal
GM3376	Gm3376	43.14202430000003	43142.024300000034	normal
CALML3	Calml3	16.70124879999999	16701.24879999999	normal
KRIT1	Krit1	83.98085390000043	83980.85390000042	normal
KRIT1	Krit1	73.81359140000028	73813.59140000028	normal
KRIT1	Krit1	79.50460540000036	79504.60540000036	normal
