protein_id	gene_symbol	mol_weight_kd	mol_weight
B1AWL2	Zfp462	282.71	282710
B1AWN6	Scn2a1	227.94	227940
B1AY13	Usp24	294	294000
B1AZI6	Thoc2	182.77	182770
B1B1A0	L3mbtl4	70.898	70898
B2RPY5	Gpr161	60.302	60302
B2RQC6	Cad	243.24	243240
B2RQE8	Arhgap42	94.635	94635
B2RRD7	Brpf1	137.31	137310
B2RSH2	Gnai1	40.361	40361
B2RU80	Ptprb	224.49	224490
B2RX12;P70170	Abcc3	169.12	169120
B2RX14	Zcchc11	184.65	184650
B2RX88	Cspp1	138.31	138310
B2RXC1	Trappc11	128.39	128390
B2RXS4;Q3UH93	Plxnb2	206.23	206230
B2RY56	Rbm25	99.551	99551
B5X0G2	Mup17	20.638	20638
B7ZMP1	Xpnpep3	56.677	56677
B7ZNG0	Kif7	151.62	151620
B9EJ86	Osbpl8	101.27	101270
B9EJA2	Cttnbp2	178.77	178770
B9EKR1	Ptprz1	254.4	254400
C0HKE9;C0HKE8;C0HKE7;C0HKE6;C0HKE5;C0HKE4;C0HKE3;C0HKE2;C0HKE1;Q8CGP6;Q8BFU2;Q8CGP7;Q8CGP5	Hist1h2ah;Hist3h2a;Hist1h2ak;Hist1h2af	14.135	14135
C0HKG6;C0HKG5		29.608	29608
C8YR32	Loxhd1	235.75	235750
CON__ENSEMBL:ENSBTAP00000006074;Q9R0G6;Q9Z1T2	Comp	80.674	80674
CON__ENSEMBL:ENSBTAP00000038253		63.165	63165
CON__ENSEMBL:ENSP00000377550;CON__Q2M2I5		45.771	45771
CON__O43790;CON__Q14533		53.5	53500
CON__Q6NTB9;CON__O76009;CON__O76011;CON__Q8IUT8		45.968	45968
CON__O95678		59.504	59504
CON__P00735		70.505	70505
CON__P00761		24.409	24409
CON__P01966;P06467		15.184	15184
CON__P02533;CON__Q61782;Q61627		51.621	51621
CON__P02535-1;P02535	Krt10	57.769	57769
CON__P02538		60.044	60044
CON__P02662		22.975	22975
CON__P02663		24.348	24348
CON__P02666		23.583	23583
CON__P02668		18.974	18974
CON__P02754		18.281	18281
CON__P02768-1		69.366	69366
CON__P02769		69.293	69293
CON__P04258		138.44	138440
CON__P04259		59.998	59998
CON__P04264		66.017	66017
P05784;CON__P05784;CON__H-INV:HIT000015463	Krt18	47.538	47538
CON__P07477		26.558	26558
CON__P07744;P07744	Krt4	56.283	56283
CON__P08779;CON__Q9Z2K1;CON__Q3ZAW8;Q9Z2K1		51.267	51267
CON__P13645;CON__Q7Z3Y7;CON__Q7Z3Y8;CON__Q148H6;CON__Q7Z3Z0		59.51	59510
CON__P13646-1		49.586	49586
CON__P13647;CON__REFSEQ:XP_932229		62.378	62378
CON__P13717;P48967	Cdc25c	28.944	28944
CON__P15636		68.124	68124
CON__P19001;P19001	Krt19	44.541	44541
CON__P19013		63.91	63910
CON__P21578		22.236	22236
CON__P35527		62.129	62129
CON__P35908v2;CON__P35908;CON__Q6NXH9;Q6NXH9;CON__Q9R0H5;Q9R0H5		65.432	65432
CON__P48668		60.024	60024
CON__P62894		11.703	11703
CON__P67983;P02802	Mt1	5.9511	5951.1
CON__Q6NT21;CON__P78385		54.195	54195
CON__P78386		55.802	55802
CON__Q04695;CON__Q9C075;CON__Q99PS0;Q99PS0		48.105	48105
CON__Q14CN4-1;CON__Q6IME9;Q6IME9;CON__Q3SY84	Krt72	55.877	55877
CON__Q9UE12;CON__Q15323;CON__Q14525;CON__Q14532;CON__Q497I4;Q497I4		47.237	47237
CON__Q3SX28		33.012	33012
CON__Q3SZ57		68.587	68587
CON__Q3TTY5;Q3TTY5	Krt2	70.922	70922
CON__Q5D862		248.07	248070
CON__Q6KB66-1		50.525	50525
CON__Q8N1N4-2;CON__Q7RTT2		56.964	56964
CON__Q7Z794		61.802	61802
CON__Q86YZ3		282.39	282390
CON__Q9DCV7;Q9DCV7;P15920	Krt7	50.708	50708
CON__Q9H552		55.151	55151
CON__Q9NSB4;Q99M74	Krt82	56.682	56682
CON__REFSEQ:XP_986630;Q61897;CON__A2A5Y0;Q61765;CON__O76014	Krt33b;Krt31	53.728	53728
D3YV10	Ccdc13	79.749	79749
D3YX43	Vsig10	60.521	60521
D3YXK2	Safb	105.1	105100
D3YZP9	Ccdc6	52.938	52938
D3Z4S3	Ptrhd1	16.037	16037
D3Z6Q9	Bin2	52.553	52553
D3Z7P3	Gls	73.963	73963
E0CYR6;Q9JIY8	Gm4477;Cml3	26.1	26100
E9PUL5	Prrt2	35.923	35923
E9PV24	Fga	87.428	87428
E9PV87	Talpid3	166.72	166720
E9PVA8	Gcn1l1	293.02	293020
E9PVX6	Mki67	350.86	350860
E9PZJ8	Ascc3	250.55	250550
E9PZM4	Chd2	210.8	210800
E9Q1U1	Ccdc171	152.31	152310
E9Q309	Cep350	346.45	346450
E9Q394	Akap13	303.97	303970
E9Q3C1	C2cd2	76.535	76535
E9Q3L2	Pi4ka	237.04	237040
E9Q401;E9PZQ0	Ryr2	564.81	564810
E9Q414;CON__ENSEMBL:ENSBTAP00000032840	Apob	509.43	509430
E9Q4Z2	Acacb	275.75	275750
E9Q555	Rnf213	584.78	584780
E9Q557	Dsp	332.91	332910
E9Q5C9	Nolc1	73.697	73697
E9Q634;P70248	Myo1e	126.82	126820
E9Q735	Ube4a	118.2	118200
E9Q7G0	Numa1	235.63	235630
E9Q7R9	Cfap43	193.42	193420
E9Q8T2	Prdm15	132.87	132870
E9Q9R9	Dlg5	214.38	214380
E9QAG8	Znf431	61.28	61280
E9QAM5	Helz2	331.56	331560
E9QAT4	Sec16a	254.2	254200
F6ZDS4	Tpr	273.99	273990
F8VPU2	Farp1	118.87	118870
F8VPZ5	Ercc6	165.96	165960
G3X912	Sprtn	55.317	55317
G3X982;Q3TYQ9	Aox3	146.9	146900
G3X9K3	Arfgef1	208.5	208500
G5E829	Atp2b1	134.75	134750
G5E861;REV__Q9JMD1	Sclt1	80.491	80491
G5E870	Trip12	224.13	224130
G5E897	Kdelc2	57.685	57685
G5E8K5	Ank3	214.06	214060
L7N1X6	Fbxw15	53.585	53585
O08529	Capn2	79.871	79871
O08539	Bin1	64.469	64469
O08547	Sec22b	24.74	24740
O08553	Dpysl2	62.277	62277
O08573	Lgals9	40.035	40035
O08579	Emd	29.435	29435
O08582	Gtpbp1	72.3	72300
O08583;Q9JJW6	Alyref;Alyref2	26.94	26940
O08585	Clta	25.604	25604
O08599	Stxbp1	67.568	67568
O08600	Endog	32.19	32190
O08601	Mttp	99.098	99098
Q9JI58;Q9CZQ6;O08604;O08603;O08602	Raet1d;Raet1e;Raet1c;Raet1b;Raet1a	27.884	27884
O08609	Mlx	33.339	33339
O08638	Myh11	227.03	227030
O08663	Metap2	52.921	52921
O08677	Kng1	73.101	73101
O08692	Ngp	19.331	19331
O08705	Slc10a1	39.413	39413
O08709	Prdx6	24.87	24870
O08715	Akap1	92.194	92194
O08738	Casp6	31.595	31595
O08749	Dld	54.272	54272
O08756	Hsd17b10	27.418	27418
O08759	Ube3a	99.818	99818
O08784	Tcof1	135	135000
O08788	Dctn1	141.67	141670
O08795	Prkcsh	58.792	58792
O08796	Eef2k	81.738	81738
O08800	Serpinb8	42.15	42150
O08807	Prdx4	31.052	31052
O08808	Diaph1	139.34	139340
O08810	Eftud2	109.36	109360
O08849	Rgs2	24.294	24294
O08914	Faah	63.221	63221
O08915	Aip	37.605	37605
O08917	Flot1	47.513	47513
O08919	Numbl	64.13	64130
O08966;O70577	Slc22a1	61.52	61520
O08970	Tuft1	44.576	44576
O08997	Atox1	7.3384	7338.4
O09005	Degs1	38.241	38241
O09012	Pex5	70.755	70755
O09043	Napsa	45.544	45544
O09044	Snap23	23.261	23261
O09061	Psmb1	26.372	26372
O09106	Hdac1	55.074	55074
O09110;P70236	Map2k3	39.296	39296
O09111	Ndufb11	17.444	17444
O09117	Sypl1	28.899	28899
O09127	Epha8	110.7	110700
O09130	Nfatc2ip	45.121	45121
O09131;Q8K2Q2	Gsto1	27.497	27497
O09158	Cyp3a25	58.121	58121
O09159	Man2b1	114.65	114650
O09164	Sod3	27.392	27392
O09167	Rpl21	18.562	18562
O09172	Gclm	30.534	30534
O09173	Hgd	49.959	49959
O09174	Amacr	41.704	41704
O35071	Kif1c	122.43	122430
O35074	Ptgis	57.046	57046
O35075	Dscr3	32.97	32970
O35098	Dpysl4	61.961	61961
O35099	Map3k5	154.51	154510
O35114	Scarb2	54.043	54043
O35127	Grcc10	13.194	13194
O35129	Phb2	33.296	33296
O35136	Ncam2	93.203	93203
O35143	Atpif1	12.159	12159
O35161	Celsr1	330.47	330470
O35166	Gosr2	24.725	24725
O35215	Ddt	13.077	13077
O35218	Cpsf2	88.382	88382
O35226	Psmd4	40.703	40703
O35239	Ptpn9	67.969	67969
O35250	Exoc7	79.959	79959
O35286;A2A4P0	Dhx15	91.006	91006
O35295	Purb	33.901	33901
O35309	Nmi	35.235	35235
O35326	Srsf5	30.891	30891
O35343	Kpna4	57.922	57922
O35344	Kpna3	57.772	57772
O35345	Kpna6	59.964	59964
O35350	Capn1	82.105	82105
O35375	Nrp2	104.63	104630
O35381;Q64G17	Anp32a	28.537	28537
O35382	Exoc4	110.54	110540
O35386	Phyh	38.607	38607
O35387	Hax1	31.654	31654
O35403	Sult3a1	35.181	35181
O35405	Pld3	54.388	54388
O35409	Folh1	84.573	84573
O35423	Agxt	45.912	45912
O35426	Xbp1	29.619	29619
O35435	Dhodh	42.699	42699
O35453	Hpn	46.821	46821
O35459	Ech1	36.118	36118
O35465	Fkbp8	43.528	43528
O35488	Slc27a2	70.422	70422
O35490;REV__Q5ND52	Bhmt	45.02	45020
O35492	Clk3	73.797	73797
O35544	Slc1a6	60.784	60784
O35551	Rabep1	99.523	99523
O35566	Cd151	28.246	28246
O35593	Psmd14	34.577	34577
O35594	Ift81	79.284	79284
O35601	Fyb	90.054	90054
O35604	Npc1	142.88	142880
O35609	Scamp3	38.458	38458
O35623	Bet1	13.274	13274
O35633	Slc32a1	57.38	57380
O35638;Q9D3E6	Stag2;Stag1	141.28	141280
O35639	Anxa3	36.384	36384
O35643	Ap1b1	103.93	103930
O35658	C1qbp	31.013	31013
O35660	Gstm6	25.621	25621
O35678	Mgll	33.387	33387
O35682	Myadm	35.284	35284
O35683	Ndufa1	8.1384	8138.4
O35685	Nudc	38.358	38358
O35691;REV__Q6A037	Pnn	82.435	82435
O35711	Ppfibp2	98.752	98752
O35717	Socs2	22.433	22433
O35728	Cyp4a14	58.719	58719
O35737	Hnrnph1	49.199	49199
O35744;Q91Z98	Chil3	44.458	44458
O35841;REV__P51450	Api5	56.784	56784
O35857	Timm44	51.091	51091
O35864	Cops5	37.548	37548
O35874	Slc1a4	56.061	56061
O35887	Calu	37.063	37063
O35900	Lsm2	10.834	10834
O35902	Dsg3	107.89	107890
O35943	Fxn	22.924	22924
O35945	Aldh1a7	54.587	54587
O35955	Psmb10	29.063	29063
O35969	Gamt	26.336	26336
O35972	Mrpl23	17.121	17121
O35988	Sdc4	21.482	21482
O54692	Zw10	88.062	88062
O54724	Ptrf	43.953	43953
O54734	Ddost	49.027	49027
O54749	Cyp2j5	57.783	57783
O54750	Cyp2j6	57.791	57791
O54754	Aox1	146.68	146680
O54774	Ap3d1	135.08	135080
Q9Z0G2;O70551;O54781	Srpk3;Srpk1;Srpk2	62.364	62364
O54782	Man2b2	115.61	115610
O54786	Dffa	36.572	36572
O54824	Il16	141.43	141430
O54825	Bysl	49.783	49783
O54829	Rgs7	54.791	54791
O54833	Csnk2a2	41.215	41215
O54865	Gucy1b3	70.597	70597
O54879	Hmgb3	23.01	23010
O54909	Rdh16	35.743	35743
O54916;Q80XA6	Reps1	86.518	86518
O54929	Wsb2	45.261	45261
O54931	Akap2	98.577	98577
O54941	Smarce1	46.638	46638
O54943	Per2	135.88	135880
O54946;Q9QYI8	Dnajb6	39.807	39807
O54950;Q91WG5	Prkag1	37.52	37520
O54962	Banf1	10.102	10102
O54984	Asna1	38.822	38822
O54988	Slk	141.46	141460
O54990	Prom1	97.112	97112
O54991	Cntnap1	156.31	156310
O55003	Bnip3	20.978	20978
O55013	Trappc3	20.302	20302
O55022	Pgrmc1	21.694	21694
O55023	Impa1	30.436	30436
O55028	Bckdk	46.587	46587
O55029	Copb2	102.45	102450
O55042	Snca	14.485	14485
O55060	Tpmt	27.585	27585
O55098	Stk10	111.9	111900
O55100	Syngr1	25.652	25652
O55102	Bloc1s1	14.281	14281
O55106	Strn	85.965	85965
O55111	Dsg2	122.38	122380
O55125	Nipsnap1	33.363	33363
O55126	Gbas	32.932	32932
O55128	Sap18	17.595	17595
O55131;Q9DA97	Sep-07	50.549	50549
O55135	Eif6	26.511	26511
O55137	Acot1	46.135	46135
O55142	Rpl35a	12.554	12554
O55143;Q8R429	Atp2a2	114.86	114860
O55201	Supt5h	120.66	120660
O55222	Ilk	51.373	51373
O55226	Chad	40.348	40348
O55229	Chkb	45.126	45126
O55234	Psmb5	28.532	28532
O55239	Nnmt	29.597	29597
O55242	Sigmar1	25.25	25250
O70131	Ninj1	16.555	16555
O70133	Dhx9	149.47	149470
O70145	Ncf2	59.485	59485
O70152	Dpm1	29.174	29174
O70165	Fcn1	36.298	36298
O70172	Pip4k2a	46.151	46151
O70194	Eif3d	63.988	63988
O70200	Aif1	16.91	16910
O70250	Pgam2	28.827	28827
O70251	Eef1b	24.693	24693
O70252	Hmox2	35.738	35738
O70274;Q63739	Ptp4a2;Ptp4a1	19.127	19127
O70303	Cideb	24.8	24800
O70305	Atxn2	136.48	136480
O70310	Nmt1	56.888	56888
O70311	Nmt2	60.484	60484
O70318	Epb41l2	109.94	109940
O70324	Slc16a2	60.024	60024
O70325	Gpx4	22.228	22228
O70362	Gpld1	93.254	93254
O70370	Ctss	38.474	38474
O70378	Emc8	23.348	23348
O70400	Pdlim1	35.774	35774
O70404	Vamp8	11.451	11451
O70410	Vmn2r1	102.35	102350
O70423	Aoc3	84.533	84533
O70435	Psma3	28.405	28405
O70439	Stx7	29.82	29820
O70443	Gnaz	40.849	40849
O70451	Slc16a7	52.603	52603
O70456	Sfn	27.706	27706
O70468	Mybpc3	140.63	140630
O70475	Ugdh	54.831	54831
O70480	Vamp4	16.353	16353
O70492	Snx3	18.757	18757
O70493	Snx12	19.116	19116
O70503	Hsd17b12	34.741	34741
O70570	Pigr	84.998	84998
O70572	Smpd2	47.466	47466
O70579	Slc25a17	34.412	34412
O70585;Q9D2N4	Dtnb;Dtna	74.398	74398
O70589	Cask	105.11	105110
O70591	Pfdn2	16.534	16534
O88271	Cfdp1	32.921	32921
O88291	Znf326	65.225	65225
O88322	Nid2	153.91	153910
O88342	Wdr1	66.406	66406
O88343	Slc4a4	121.48	121480
O88379	Baz1a	178.46	178460
O88384	Vti1b	26.713	26713
O88410	Cxcr3	41.017	41017
O88428	Papss2	70.35	70350
O88441	Mtx2	29.758	29758
O88448	Klc2	66.662	66662
O88451	Rdh7	35.66	35660
O88455	Dhcr7	53.918	53918
O88456;Q9D7J7	Capns1	28.463	28463
O88477	Igf2bp1	63.45	63450
O88487	Dync1i2	68.393	68393
O88520	Shoc2	64.892	64892
O88522	Ikbkg	47.972	47972
O88531	Ppt1	34.49	34490
O88532	Zfr	116.86	116860
O88533	Ddc	53.873	53873
O88543	Cops3	47.832	47832
O88544	Cops4	46.284	46284
O88545	Cops6	35.88	35880
O88551	Cldn1	22.881	22881
O88552	Cldn2	24.483	24483
O88569	Hnrnpa2b1	37.402	37402
O88587	Comt	29.486	29486
O88597	Becn1	51.588	51588
O88630	Gosr1	28.489	28489
O88643	Pak1	60.736	60736
O88653	Lamtor3	13.553	13553
O88668	Creg1	24.452	24452
O88685	Psmc3	49.548	49548
O88696	Clpp	29.8	29800
O88697	Stk16	34.381	34381
O88703	Hcn2	94.721	94721
O88712	Ctbp1	47.744	47744
O88735	Map7	82.021	82021
O88736	Hsd17b7	37.316	37316
O88737	Bsn	418.84	418840
O88738	Birc6	532.16	532160
O88741	Gdap1	41.31	41310
O88746	Tom1	54.325	54325
O88792	F11r	32.423	32423
O88811	Stam2	57.454	57454
O88822	Sc5d	35.062	35062
O88829	St3gal5	47.359	47359
O88833	Cyp4a10	58.33	58330
O88843	Cradd	22.656	22656
O88844	Idh1	46.674	46674
O88851	Rbbp9	20.911	20911
O88876	Dhrs3	33.652	33652
P84102;O88892	Serf2;Serf1	6.8998	6899.8
O88908	Soat2	60.597	60597
O88910	Mpp3	64.4	64400
O88935	Syn1	74.096	74096
O88947	F10	54.017	54017
O88952	Lin7c	21.834	21834
O88958;Q9CRC9	Gnpda1	32.549	32549
O88962	Cyp8b1	57.706	57706
O88967	Yme1l1	80.027	80027
O88968	Tcn2	47.585	47585
O88983	Stx8	26.925	26925
O88986	Gcat	44.93	44930
O88987	Akap3	95.555	95555
O89017	Lgmn	49.372	49372
O89023	Tpp1	61.341	61341
O89026	Robo1	176.4	176400
O89051	Itm2b	30.26	30260
O89053	Coro1a	50.989	50989
O89079	Cope	34.567	34567
O89086	Rbm3	16.604	16604
O89110	Casp8	55.356	55356
O89112	Lancl1	45.341	45341
P00186;P00184	Cyp1a2	58.183	58183
P00329	Adh1	39.771	39771
P00375	Dhfr	21.606	21606
P00397	Mtco1	56.909	56909
P00405	Mtco2	25.976	25976
P00416;Q8K4Q7	mt-Co3;Cerk	29.922	29922
P00493	Hprt1	24.57	24570
P00687;CON__Q3MHH8;P00688	Amy1;Amy2	57.643	57643
P00920	Ca2	29.032	29032
P01027;CON__Q2UVX4	C3	186.48	186480
P01029;CON__ENSEMBL:ENSBTAP00000007350;CON__P01030	C4b	192.91	192910
P01592	Igj	18.013	18013
P01631		12.273	12273
P01633	Igk-V19-17	16.433	16433
P01638;P01637		12.986	12986
P01646;P01645;P01644;P04946;P01648;P01647		11.989	11989
P01656;P01654;P01668;P01667;P01659;P01672;P01671;P01670;P01669;P01666;P03977;P01665;P01664;P01660;P01657;P01673;P01655		11.904	11904
P01680		13.722	13722
P01741		12.555	12555
P01786		12.374	12374
P01800;P01799;P01798;P01797;P01796;P01802;P01801		12.732	12732
P01831	Thy1	18.08	18080
P01837		11.934	11934
P01843		11.575	11575
P01864;P01863;P01865		36.595	36595
P01867	Igh-3	44.259	44259
P01868;P01869	Ighg1	35.704	35704
P01872	Ighm	49.971	49971
P01878		36.875	36875
P01887	B2m	13.779	13779
P01898	H2-Q10	37.251	37251
P01899;P01897;P01900;P01896;P14427;P01895	H2-D1;H2-L	40.836	40836
P01901;P04223;P14428	H2-K1	41.301	41301
P01942	Hba	15.085	15085
P02088;CON__Q3SX09;CON__P02070;P02104	Hbb-b1	15.84	15840
P02089	Hbb-b2	15.878	15878
P02340	Tp53	43.458	43458
P02463	Col4a1	160.68	160680
P02468	Lamc1	177.3	177300
P02772	Afp	67.337	67337
P03888	Mtnd1	36.059	36059
P03893	Mtnd2	38.752	38752
P03899	Mtnd3	13.219	13219
P03911	Mtnd4	51.881	51881
P03921	Mtnd5	68.474	68474
P03930	Mtatp8	7.7662	7766.2
P03958	Ada	39.991	39991
P03987		43.929	43929
P03991	H2-K1	41.103	41103
P03995	Gfap	49.899	49899
P04104	Krt1	65.605	65605
P04117;P24526;O08716	Fabp4	14.65	14650
P04186;CON__Q3KUS7	Cfb	85.004	85004
P04247	Mb	17.069	17069
P04370	Mbp	27.167	27167
P04627;P28028	Araf	67.581	67581
P04919	Slc4a1	103.13	103130
P04939;P11590	Mup3	21.464	21464
P04945		11.713	11713
P05063	Aldoc	39.394	39394
P05064	Aldoa	39.355	39355
P05132	Prkaca	40.57	40570
P05201	Got1	46.247	46247
P05202	Got2	47.411	47411
P05213;Q3UX10	Tuba1b	50.151	50151
P05214	Tuba3a	49.959	49959
P05366	Saa1	13.77	13770
P05532	Kit	109.34	109340
P06151;P00342	Ldha	36.498	36498
P06330;P01757;P01756		12.934	12934
P06339;P14432	H2-T23	40.875	40875
P06346	H2-Ab1	28.602	28602
P06537	Nr3c1	86.052	86052
P06683	C9	62.002	62002
P06684	C5	188.88	188880
P06728	Apoa4	45.029	45029
P06745;CON__Q3ZBD7	Gpi	62.766	62766
P06795;P21447	Abcb1b;Abcb1a	140.99	140990
P06797;Q9JI81	Ctsl	37.547	37547
P06800	Ptprc	144.84	144840
P06801	Me1	63.953	63953
P06802	Enpp1	103.17	103170
P06837	Gap43	23.632	23632
P06909	Cfh	139.14	139140
P07091	S100a4	11.721	11721
P07309	Ttr	15.776	15776
P07310	Ckm	43.044	43044
P07356;REV__Q8BND4	Anxa2	38.676	38676
P07361	Orm2	23.843	23843
P07724	Alb	68.692	68692
P07742	Rrm1	90.209	90209
P07758	Serpina1a	46.002	46002
P07759;P29621;Q5I2A0;Q80X76	Serpina3k	46.879	46879
P07901	Hsp90aa1	84.787	84787
P08003	Pdia4	71.982	71982
P08030	Aprt	19.724	19724
P08071	Ltf	77.837	77837
P08101;P08508	Fcgr2;Fcgr3	36.695	36695
P08113	Hsp90b1	92.475	92475
P08121	Col3a1	138.94	138940
P08122	Col4a2	167.32	167320
P08207	S100a10	11.186	11186
P08226	Apoe	35.866	35866
P08228	Sod1	15.942	15942
P08249	Mdh2	35.611	35611
P08551	Nefl	61.508	61508
P08553	Nefm	95.915	95915
P08556	Nras	21.199	21199
P08607	C4bpa	51.523	51523
P08680	Alas2	64.753	64753
P08752;P20612;Q3V3I2	Gnai2	40.489	40489
P08775	Polr2a	217.17	217170
P08905;P17897	Lyz2;Lyz1	16.689	16689
P09041	Pgk2	44.852	44852
P09055	Itgb1	88.231	88231
P09103;REV__Q09XV5	P4hb	57.058	57058
P09405	Ncl	76.722	76722
P09411	Pgk1	44.55	44550
P09528	Fth1	21.066	21066
P09542	Myl3	22.421	22421
P09581	Csf1r	109.18	109180
P09671	Sod2	24.603	24603
P09803	Cdh1	98.255	98255
P09813	Apoa2	11.309	11309
P09925	Surf1	34.798	34798
Q3THW5;P0C0S6	H2afv;H2afz	13.509	13509
P0C7W3;Q8R1J9	Tor2a	25.376	25376
P0C8B4		10.346	10346
P0C8K7	Smim1	8.764	8764
P0CW70	Dpy19l2	89.881	89881
P0DJF2	Pet117	9.1235	9123.5
P0DN34		6.954	6954
P0DN91;P0DN90;P0DN89		14.238	14238
P0DOV1;Q8CGE8	Ifi205a	46.977	46977
P0DOV2		69.437	69437
P0DP28;P0DP27;P0DP26;Q9D6P8;P20801		16.837	16837
P10107	Anxa1	38.734	38734
P10126	Eef1a1	50.113	50113
P10493	Nid1	136.54	136540
P10518	Alad	36.023	36023
P10605	Ctsb	37.279	37279
P10630	Eif4a2	46.402	46402
P10637	Mapt	76.243	76243
P10639	Txn	11.675	11675
P10648	Gsta2	25.542	25542
P10649	Gstm1	25.97	25970
P10711;Q9QVN7	Tcea1	33.88	33880
P10833	Rras	23.764	23764
P10852	Slc3a2	58.336	58336
Q6ZWY9;Q64525;Q64478;P10854;Q8CGP2;Q8CGP1;P10853;P70696	Hist1h2bc;Hist2h2bb;Hist1h2bh;Hist1h2bm;Hist1h2bp;Hist1h2bk;Hist1h2bf;Hist1h2ba	13.906	13906
P10922	H1f0	20.861	20861
P10923	Spp1	32.459	32459
P11031	Sub1	14.427	14427
P11032	Gzma	28.599	28599
P11087;CON__Q862S4	Col1a1	138.03	138030
P11103	Parp1	113.1	113100
P11152	Lpl	53.109	53109
P11276	Fn1	272.53	272530
P11352	Gpx1	22.329	22329
P11404	Fabp3	14.819	14819
P11438	Lamp1	43.865	43865
P11499;REV__Q8BL66	Hsp90ab1	83.28	83280
P11531	Dmd	425.83	425830
P11588	Mup1	20.648	20648
P11589	Mup2	20.663	20663
P11609;P11610	Cd1d1;Cd1d2	38.554	38554
P11679;CON__P05787;CON__H-INV:HIT000292931;CON__H-INV:HIT000016045;CON__REFSEQ:XP_092267	Krt8	54.565	54565
P11688	Itga5	115.04	115040
P11714	Cyp2d9	56.949	56949
P11725	Otc	39.764	39764
P11798	Camk2a	54.114	54114
P11835	Itgb2	85.025	85025
P11859	Agt	51.99	51990
P11862	Gas2	34.9	34900
P11881	Itpr1	313.16	313160
P11911	Cd79a	24.583	24583
P11928	Oas1a	42.428	42428
P11930	Nudt19	40.32	40320
P11983	Tcp1	60.448	60448
P12265	Gusb	74.194	74194
P12367;P31324	Prkar2a	45.389	45389
P12382	Pfkl	85.359	85359
P12658	Calb1	29.994	29994
P12660	Pcp2	13.053	13053
P12710	Fabp1	14.245	14245
P12787	Cox5a	16.101	16101
P12790	Cyp2b9	55.74	55740
P12815	Pdcd6	21.867	21867
P12960	Cntn1	113.39	113390
P12970	Rpl7a	29.976	29976
P13020;CON__Q3SX14	Gsn	85.941	85941
P13439	Umps	52.292	52292
P13516;Q99PL7;P13011;Q6T707	Scd1;Scd3;Scd2	41.046	41046
P13541	Myh3	223.79	223790
P13542	Myh8	222.7	222700
